name,facility_type,country,admin_region,city,latitude,longitude,operational_status,ownership,phone,email,website,beds
Kamuzu Central Hospital,hospital,Malawi,Central Region,Lilongwe,-13.9628,33.7817,operational,public,+265111756666,,,700
Parirenyatwa Group of Hospitals,hospital,Zimbabwe,Harare Province,Harare,-17.7917,31.0456,operational,public,+263242701541,,,1800
Black Lion Hospital,hospital,Ethiopia,Addis Ababa,Addis Ababa,9.0353,38.7500,operational,public,+251111239722,,,700
Kenyatta University Teaching Hospital,hospital,Kenya,Nairobi County,Nairobi,-1.1842,36.9375,operational,public,+254208710901,,,200
Pumwani Maternity Hospital,hospital,Kenya,Nairobi County,Nairobi,-1.2750,36.8539,operational,public,+254203530042,,,358
Kiambu Level 5 Hospital,hospital,Kenya,Kiambu County,Kiambu,-1.1728,36.8333,operational,public,+254672000333,,,200
Thika Level 5 Hospital,hospital,Kenya,Kiambu County,Thika,-1.0333,37.0667,operational,public,+254672000444,,,200
Embu Level 5 Hospital,hospital,Kenya,Embu County,Embu,-0.5167,37.4500,operational,public,+254682000555,,,200
Meru Level 5 Hospital,hospital,Kenya,Meru County,Meru,0.0500,37.6500,operational,public,+254642000666,,,200
Kakamega County General Hospital,hospital,Kenya,Kakamega County,Kakamega,0.2833,34.7500,operational,public,+254562000777,,,200
Bungoma County Referral Hospital,hospital,Kenya,Bungoma County,Bungoma,0.5667,34.5667,operational,public,+254552000888,,,150
Vihiga County Referral Hospital,hospital,Kenya,Vihiga County,Vihiga,0.0917,34.7333,operational,public,+254572000999,,,80
Siaya County Referral Hospital,hospital,Kenya,Siaya County,Siaya,0.0611,34.2861,operational,public,+254572001111,,,120
Migori County Referral Hospital,hospital,Kenya,Migori County,Migori,-1.0640,34.4731,operational,public,+254592002222,,,150
Homabay County Referral Hospital,hospital,Kenya,Homabay County,Homabay,-0.5333,34.4500,operational,public,+254592003333,,,120
Kitale County Referral Hospital,hospital,Kenya,Trans Nzoia County,Kitale,1.0167,35.0000,operational,public,+254552004444,,,200
Nandi Hills County Hospital,clinic,Kenya,Nandi County,Nandi Hills,0.1000,35.1833,operational,public,+254532005555,,,50
Kapenguria County Referral Hospital,hospital,Kenya,West Pokot County,Kapenguria,1.2333,35.1000,operational,public,+254532006666,,,100
Lodwar County Referral Hospital,hospital,Kenya,Turkana County,Lodwar,3.1167,35.6000,operational,public,+254542007777,,,80
Isiolo County Referral Hospital,hospital,Kenya,Isiolo County,Isiolo,0.3500,37.5833,operational,public,+254642008888,,,80
Marsabit County Referral Hospital,hospital,Kenya,Marsabit County,Marsabit,2.3333,37.9833,operational,public,+254692009999,,,60
Wajir County Referral Hospital,hospital,Kenya,Wajir County,Wajir,1.7500,40.0667,operational,public,+254462010000,,,80
Mandera County Referral Hospital,hospital,Kenya,Mandera County,Mandera,3.9333,41.8667,operational,public,+254462011111,,,60
Narok County Referral Hospital,hospital,Kenya,Narok County,Narok,-1.0833,35.8667,operational,public,+254502012222,,,100
Kajiado County Referral Hospital,hospital,Kenya,Kajiado County,Kajiado,-1.8500,36.7833,operational,public,+254452013333,,,80
Nanyuki Teaching and Referral Hospital,hospital,Kenya,Laikipia County,Nanyuki,0.0167,37.0667,operational,public,+254622014444,,,200
